,1330_open,1330_high,1330_low,1330_close,1330_volume,6702_open,6702_high,6702_low,6702_close,6702_volume,USD,EUR,1y,5y,9y,dji_Open,dji_High,dji_Low,dji_Close,dji_Volume
2010-12-20,10430,10440,10320,10370,229.98,565.0,570.0,562.0,567.0,8835,84.09,110.41,0.159,0.47,1.065,11499.019531,11503.179688,11451.0,11491.910156,358300000
2010-12-21,10410,10510,10400,10510,328.12,566.0,569.0,560.0,564.0,12016,83.74,109.88,0.158,0.49200000000000005,1.065,11499.019531,11503.179688,11451.0,11491.910156,358300000
2010-12-22,10500,10530,10460,10480,353.32,564.0,568.0,563.0,567.0,10595,83.83,110.02,0.158,0.47600000000000003,1.032,11491.299805,11517.070313,11442.679688,11478.129883,125360000
2010-12-24,10410,10430,10400,10420,160.08,560.0,565.0,560.0,564.0,6440,83.19,109.01,0.158,0.483,1.048,11532.169922,11566.990234,11528.080078,11559.490234,122040000
2010-12-27,10450,10520,10440,10480,99.25,567.0,574.0,566.0,571.0,9466,82.97,108.69,0.158,0.46799999999999997,1.057,11559.110352,11580.839844,11542.620117,11573.490234,100840000
2010-12-28,10460,10490,10450,10450,196.11,572.0,574.0,568.0,569.0,5036,82.72,109.5,0.147,0.44299999999999995,1.025,11559.110352,11580.839844,11542.620117,11573.490234,100840000
2010-12-29,10430,10500,10430,10500,145.51,566.0,571.0,566.0,570.0,5470,82.33,107.81,0.147,0.45,1.0490000000000002,11572.80957,11573.19043,11518.44043,11555.030273,76820000
2010-12-30,10460,10470,10350,10380,175.46,568.0,570.0,563.0,565.0,7371,81.44,107.83,0.143,0.39899999999999997,1.005,11554.799805,11591.129883,11541.139648,11575.540039,114100000
2011-01-04,10490,10560,10470,10530,246.92,573.0,573.0,569.0,572.0,5011,81.8,109.08,0.141,0.426,1.042,11569.330078,11597.410156,11530.320313,11577.509766,93330000
2011-01-05,10540,10570,10510,10540,150.57,567.0,573.0,560.0,565.0,16434,82.04,109.05,0.141,0.42100000000000004,1.033,11577.429688,11711.469727,11577.349609,11670.75,203420000
2011-01-06,10650,10680,10640,10680,209.18,568.0,570.0,565.0,567.0,9019,83.38,109.68,0.14,0.48,1.0959999999999999,11670.900391,11698.219727,11635.740234,11691.179688,178630000
2011-01-07,10660,10700,10650,10690,168.76,564.0,565.0,560.0,561.0,11521,83.36,108.4,0.14,0.47,1.087,11688.610352,11742.679688,11652.889648,11722.889648,169990000
2011-01-11,10630,10690,10630,10670,110.49,556.0,558.0,551.0,552.0,14036,82.9,107.26,0.139,0.451,1.073,11696.860352,11726.94043,11599.679688,11674.759766,188720000
2011-01-12,10720,10730,10650,10650,178.38,555.0,556.0,550.0,551.0,12958,83.32,108.2,0.139,0.457,1.063,11672.339844,11677.330078,11573.870117,11637.450195,150340000
2011-01-13,10750,10780,10720,10740,122.06,553.0,556.0,544.0,549.0,18625,83.12,109.16,0.139,0.48200000000000004,1.079,11638.509766,11704.120117,11635.480469,11671.879883,157440000
2011-01-14,10730,10730,10650,10670,134.42,545.0,547.0,540.0,542.0,15847,82.81,110.44,0.139,0.49200000000000005,1.08,11673.620117,11782.230469,11673.620117,11755.44043,144960000
2011-01-17,10720,10720,10630,10660,175.04,547.0,554.0,546.0,547.0,13246,82.93,110.79,0.14,0.518,1.094,11732.129883,11794.150391,11698.830078,11787.379883,200770000
2011-01-18,10630,10690,10600,10670,109.45,548.0,554.0,547.0,551.0,8749,82.77,109.76,0.15,0.504,1.105,11732.129883,11794.150391,11698.830078,11787.379883,200770000
2011-01-19,10710,10730,10680,10710,144.54,552.0,556.0,549.0,553.0,9378,82.6,110.65,0.15,0.54,1.146,11732.129883,11794.150391,11698.830078,11787.379883,200770000
2011-01-20,10660,10660,10570,10590,163.21,549.0,552.0,545.0,547.0,11059,82.17,110.48,0.14,0.495,1.099,11783.820313,11858.780273,11777.990234,11837.929688,203390000
2011-01-21,10630,10630,10400,10410,324.47,550.0,554.0,546.0,548.0,16490,83.05,111.88,0.148,0.494,1.103,11834.209961,11861.240234,11798.459961,11825.290039,166250000
2011-01-24,10460,10500,10420,10480,281.06,546.0,548.0,543.0,545.0,12767,82.72,112.47,0.147,0.506,1.125,11822.950195,11905.480469,11822.799805,11871.839844,249480000
2011-01-25,10520,10630,10500,10620,199.5,555.0,566.0,553.0,563.0,20105,82.63,112.7,0.15,0.531,1.1440000000000001,11822.950195,11905.480469,11822.799805,11871.839844,249480000
2011-01-26,10570,10600,10540,10560,69.98,561.0,564.0,557.0,559.0,11904,82.24,112.41,0.15,0.516,1.126,11873.429688,11982.94043,11867.980469,11980.519531,184000000
2011-01-27,10630,10640,10570,10630,95.32,560.0,562.0,555.0,559.0,10439,82.0,112.44,0.15,0.499,1.113,11980.519531,11985.969727,11898.740234,11977.19043,191950000
2011-01-28,10620,10630,10480,10520,172.34,555.0,557.0,544.0,545.0,13849,82.77,113.66,0.15,0.489,1.1,11978.849609,12020.519531,11961.830078,11985.44043,168320000
2011-01-31,10370,10420,10320,10400,249.39,499.0,514.0,494.0,511.0,48507,82.11,111.55,0.15,0.496,1.091,11990.360352,12012.419922,11803.040039,11823.700195,214170000
2011-02-01,10440,10450,10390,10420,149.91,507.0,517.0,501.0,512.0,28667,82.04,112.49,0.15,0.512,1.113,11990.360352,12012.419922,11803.040039,11823.700195,214170000
