,6702_close
2017-10-23,853.74994
2017-10-24,860.64844
2017-10-25,874.9229
2017-10-26,873.047
2017-10-27,859.41034
2017-10-30,805.06604
2017-10-31,817.9291
2017-11-01,837.4671
2017-11-02,849.1253
2017-11-06,829.2243
2017-11-07,810.0464
2017-11-08,819.15344
2017-11-09,830.4225
2017-11-10,830.65936
2017-11-13,837.2583
2017-11-14,827.2249
2017-11-15,822.1872
2017-11-16,810.04144
2017-11-17,823.0559
2017-11-20,810.6296
2017-11-21,794.3205
2017-11-22,785.6117
2017-11-24,786.4574
2017-11-27,783.22516
2017-11-28,786.3127
2017-11-29,782.3795
2017-11-30,803.4563
2017-12-01,810.7549
2017-12-04,807.55536
2017-12-05,798.6021
2017-12-06,788.07184
2017-12-07,773.353
2017-12-08,787.12994
2017-12-11,789.87067
2017-12-12,794.4602
2017-12-13,788.7951
2017-12-14,785.3062
2017-12-15,787.2612
2017-12-18,785.15735
2017-12-19,800.69073
2017-12-20,799.9783
2017-12-21,787.52673
2017-12-22,782.44727
2017-12-25,781.6384
2017-12-26,781.67285
2017-12-27,779.9389
2017-12-28,783.1746
2017-12-29,777.762
