
収束にどれだかかかるか確認してみた。
ログが流れて行っている、、、
さくっとshow_predict.pyが動かなかったので、Model Classを分離することにした。
なので、まだ、生データは見ていない。

tensorboardデータとmodelはこのディレクトリに一応保存済み

2019/04/02 18:51:57: step 196850, loss 0.001, acc 0.988, std 0.042
2019/04/02 18:52:08: step 196900, loss 0.001, acc 0.985, std 0.043
2019/04/02 18:52:19: step 196950, loss 0.000, acc 0.981, std 0.044
2019/04/02 18:52:30: step 197000, loss 0.001, acc 0.985, std 0.042
2019/04/02 18:52:40: step 197050, loss 0.001, acc 0.981, std 0.042
2019/04/02 18:52:51: step 197100, loss 0.001, acc 0.983, std 0.042
2019/04/02 18:53:01: step 197150, loss 0.001, acc 0.986, std 0.042
2019/04/02 18:53:12: step 197200, loss 0.000, acc 0.984, std 0.042
2019/04/02 18:53:23: step 197250, loss 0.001, acc 0.988, std 0.039
2019/04/02 18:53:33: step 197300, loss 0.001, acc 0.984, std 0.043
2019/04/02 18:53:44: step 197350, loss 0.001, acc 0.988, std 0.040
2019/04/02 18:53:55: step 197400, loss 0.001, acc 0.985, std 0.041
2019/04/02 18:54:05: step 197450, loss 0.001, acc 0.985, std 0.042
2019/04/02 18:54:16: step 197500, loss 0.000, acc 0.990, std 0.040
2019/04/02 18:54:27: step 197550, loss 0.000, acc 0.986, std 0.043
2019/04/02 18:54:37: step 197600, loss 0.001, acc 0.985, std 0.042
2019/04/02 18:54:48: step 197650, loss 0.001, acc 0.990, std 0.042
2019/04/02 18:54:59: step 197700, loss 0.001, acc 0.986, std 0.040
2019/04/02 18:55:09: step 197750, loss 0.000, acc 0.979, std 0.042
2019/04/02 18:55:20: step 197800, loss 0.000, acc 0.983, std 0.042
2019/04/02 18:55:30: step 197850, loss 0.001, acc 0.984, std 0.043
2019/04/02 18:55:41: step 197900, loss 0.001, acc 0.986, std 0.041
2019/04/02 18:55:51: step 197950, loss 0.000, acc 0.986, std 0.040
2019/04/02 18:56:02: step 198000, loss 0.000, acc 0.982, std 0.041
2019/04/02 18:56:13: step 198050, loss 0.001, acc 0.982, std 0.042
2019/04/02 18:56:23: step 198100, loss 0.000, acc 0.986, std 0.041
2019/04/02 18:56:34: step 198150, loss 0.001, acc 0.990, std 0.043
2019/04/02 18:56:45: step 198200, loss 0.001, acc 0.988, std 0.042
2019/04/02 18:56:56: step 198250, loss 0.000, acc 0.985, std 0.043
2019/04/02 18:57:06: step 198300, loss 0.000, acc 0.988, std 0.042
2019/04/02 18:57:16: step 198350, loss 0.001, acc 0.989, std 0.040
2019/04/02 18:57:27: step 198400, loss 0.001, acc 0.988, std 0.041
2019/04/02 18:57:37: step 198450, loss 0.001, acc 0.987, std 0.040
2019/04/02 18:57:47: step 198500, loss 0.001, acc 0.985, std 0.040
2019/04/02 18:57:58: step 198550, loss 0.000, acc 0.988, std 0.039
2019/04/02 18:58:09: step 198600, loss 0.001, acc 0.985, std 0.043
2019/04/02 18:58:19: step 198650, loss 0.001, acc 0.988, std 0.041
2019/04/02 18:58:30: step 198700, loss 0.001, acc 0.988, std 0.040
2019/04/02 18:58:40: step 198750, loss 0.001, acc 0.989, std 0.041
2019/04/02 18:58:51: step 198800, loss 0.000, acc 0.991, std 0.040
2019/04/02 18:59:02: step 198850, loss 0.000, acc 0.983, std 0.041
2019/04/02 18:59:12: step 198900, loss 0.001, acc 0.986, std 0.041
2019/04/02 18:59:23: step 198950, loss 0.000, acc 0.987, std 0.040
2019/04/02 18:59:34: step 199000, loss 0.001, acc 0.984, std 0.042
